paper_uid_after_direct_w,exclusion_reason,ref_year,search_pub_year,kci_pub_year,kci_verified,google_scholar_indexed,google_scholar_match_status,google_scholar_year,google_scholar_citation_count,D_j_audit,recoverable_target_year,year_recovery_source
P00236651,missing_target_year,2001a,,,,0,not_indexed,,,0.0,,
P00236652,missing_target_year,2001b,,,,0,not_indexed,,,0.0,,
P00236654,missing_target_year,2001d,,,,0,not_indexed,,,0.0,,
P00236656,missing_target_year,2003a,,,,0,not_indexed,,,0.0,,
P00236657,missing_target_year,2003b,,,,0,not_indexed,,,0.0,,
P00236658,missing_target_year,2003c,,,,0,not_indexed,,,0.0,,
P00236659,missing_target_year,2003d,,,,0,not_indexed,,,0.0,,
P00236665,missing_target_year,2005a,,,,0,not_indexed,,,0.0,,
P00236666,missing_target_year,2005b,,,,0,not_indexed,,,0.0,,
P00236667,missing_target_year,2005c,,,,0,review,,,0.0,,
P00236668,missing_target_year,2005d,,,,0,not_indexed,,,0.0,,
P00236669,missing_target_year,2005e,,,,0,not_indexed,,,0.0,,
P00236670,missing_target_year,2005f,,,,0,not_indexed,,,0.0,,
P00172112,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00236706,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00236707,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00236714,missing_target_year,1999b,,,,0,not_indexed,,,0.0,,
P00236821,missing_target_year,2001a,,,,0,not_indexed,,,0.0,,
P00236822,missing_target_year,2001b,,,,0,not_indexed,,,0.0,,
P00236825,missing_target_year,1991181-205,2011.0,,,0,not_indexed,,,0.0,2011.0,search_pub_year
P00236855,missing_target_year,,2006.0,,,1,matched,2006.0,4.0,1.0,2006.0,search_pub_year
P00236865,missing_target_year,2003a,,,,0,not_indexed,,,0.0,,
P00236866,missing_target_year,2003b,,,,0,not_indexed,,,0.0,,
P00236867,missing_target_year,2005a,,,,0,review,,,0.0,,
P00236868,missing_target_year,2005b,,,,1,matched,2005.0,,1.0,2005.0,google_scholar_year
P00236904,missing_target_year,,2006.0,,,0,review,,,0.0,2006.0,search_pub_year
P00236984,missing_target_year,1968a,,,,0,not_indexed,,,0.0,,
P00210619,missing_target_year,1968b,,,,0,not_indexed,,,0.0,,
P00236986,missing_target_year,1997a,,,,0,not_indexed,,,0.0,,
P00236987,missing_target_year,1997b,,,,0,not_indexed,,,0.0,,
P00237004,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237012,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237014,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237041,missing_target_year,19941960,,,,0,not_indexed,,,0.0,,
P00237042,missing_target_year,,2007.0,,,0,not_indexed,,,0.0,2007.0,search_pub_year
P00237062,missing_target_year,1958.『로동』.1958년제10호.,,,,0,not_indexed,,,0.0,,
P00237079,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237083,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237086,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237088,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237089,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237090,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237091,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237092,missing_target_year,전국어머니대회참가자일동.1962.,,,,0,not_indexed,,,0.0,,
P00237094,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237102,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237103,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237104,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237105,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237106,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237107,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237108,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237109,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237110,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237111,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237112,missing_target_year,,2019.0,,,0,not_indexed,,,0.0,2019.0,search_pub_year
P00237113,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237126,missing_target_year,19921960-90,,,,0,not_indexed,,,0.0,,
P00237127,missing_target_year,2002a,,,,0,not_indexed,,,0.0,,
P00237128,missing_target_year,2002b,,,,0,not_indexed,,,0.0,,
P00237147,missing_target_year,1989a,,,,0,not_indexed,,,0.0,,
P00237148,missing_target_year,1989b,,,,0,not_indexed,,,0.0,,
P00237163,missing_target_year,2005a,,,,0,not_indexed,,,0.0,,
P00237164,missing_target_year,2005b,,,,0,not_indexed,,,0.0,,
P00237173,missing_target_year,2005a,,,,0,not_indexed,,,0.0,,
P00237174,missing_target_year,2005b,,,,0,not_indexed,,,0.0,,
P00203441,missing_target_year,2006a,,,,0,not_indexed,,,0.0,,
P00237175,missing_target_year,2006b,,,,0,not_indexed,,,0.0,,
P00237177,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237178,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237179,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00237263,missing_target_year,,,,,0,not_indexed,,,0.0,,
