paper_uid_after_direct_w,cohort,target_year,target_topic,partial,eng_cite_count,Y_jc,obs_start,obs_end,age_jc,age_bin,N_topic_jc,ln_offset
P00026600,C4,1996.0,13,0,0,0,2020.0,2024,26.0,11+,8,2.1972245773362196
P00026601,C1,1995.0,-1,1,0,0,1995.0,2009,7.0,6-10,7,2.0794415416798357
P00026601,C2,1995.0,-1,0,0,0,2010.0,2014,17.0,11+,57,4.060443010546419
P00026601,C3,1995.0,-1,0,0,0,2015.0,2019,22.0,11+,66,4.204692619390966
P00026601,C4,1995.0,-1,0,0,0,2020.0,2024,27.0,11+,79,4.382026634673881
P00026602,C1,1999.0,15,1,0,0,1999.0,2009,5.0,3-5,0,0.0
P00026602,C2,1999.0,15,0,0,0,2010.0,2014,13.0,11+,1,0.6931471805599453
P00026602,C3,1999.0,15,0,0,0,2015.0,2019,18.0,11+,2,1.0986122886681098
P00026602,C4,1999.0,15,0,0,0,2020.0,2024,23.0,11+,1,0.6931471805599453
P00026603,C1,2004.0,13,1,0,0,2004.0,2009,2.5,3-5,1,0.6931471805599453
P00026603,C2,2004.0,13,0,0,0,2010.0,2014,8.0,6-10,1,0.6931471805599453
P00026603,C3,2004.0,13,0,0,0,2015.0,2019,13.0,11+,2,1.0986122886681098
P00026603,C4,2004.0,13,0,0,0,2020.0,2024,18.0,11+,8,2.1972245773362196
P00026604,C1,1999.0,13,1,0,0,1999.0,2009,5.0,3-5,1,0.6931471805599453
P00026604,C2,1999.0,13,0,0,0,2010.0,2014,13.0,11+,1,0.6931471805599453
P00026604,C3,1999.0,13,0,0,0,2015.0,2019,18.0,11+,2,1.0986122886681098
P00026604,C4,1999.0,13,0,0,0,2020.0,2024,23.0,11+,8,2.1972245773362196
P00026605,C1,1995.0,13,1,0,0,1995.0,2009,7.0,6-10,1,0.6931471805599453
P00026605,C2,1995.0,13,0,0,0,2010.0,2014,17.0,11+,1,0.6931471805599453
P00026605,C3,1995.0,13,0,0,0,2015.0,2019,22.0,11+,2,1.0986122886681098
P00026605,C4,1995.0,13,0,0,0,2020.0,2024,27.0,11+,8,2.1972245773362196
P00026606,C1,2002.0,-1,1,0,0,2002.0,2009,3.5,3-5,7,2.0794415416798357
P00026606,C2,2002.0,-1,0,0,0,2010.0,2014,10.0,6-10,57,4.060443010546419
P00026606,C3,2002.0,-1,0,0,0,2015.0,2019,15.0,11+,66,4.204692619390966
P00026606,C4,2002.0,-1,0,0,0,2020.0,2024,20.0,11+,79,4.382026634673881
P00026607,C1,2000.0,-1,1,0,0,2000.0,2009,4.5,3-5,7,2.0794415416798357
