paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year,direct_article_id,direct_id_sources,direct_id_values,direct_id_conflict,query_signature
P00044490,"중소대립,베트남 전쟁과 북한의 남조선혁명론",조진구,아세아연구,2003,,,,False,중소대립베트남전쟁과북한의남조선혁명론||조진구||아세아연구||2003
P00044509,북한의 비핵화와 개혁·개방전망,남성욱,Strategy 21,2007,,,,False,북한의비핵화와개혁개방전망||남성욱||strategy21||2007
P00044510,2007 남북정상회담 이후 경제협력의 전망과 과제,양문수,통일정책연구,2007,,,,False,2007남북정상회담이후경제협력의전망과과제||양문수||통일정책연구||2007
P00044515,북한의 토지법제와 통일 후의 과제에 관한 연구,김경호,토지법학,2007,,,,False,북한의토지법제와통일후의과제에관한연구||김경호||토지법학||2007
P00044516,월남자의 북한토지 소유권에 대한 실증적 접근,김민배,민주법학,1995,,,,False,월남자의북한토지소유권에대한실증적접근||김민배||민주법학||1995
P00044517,북한에서의 토지개혁의 법적 논리와 그 역사적 전개,김민배,사회과학연구소 논문집,1993,,,,False,북한에서의토지개혁의법적논리와그역사적전개||김민배||사회과학연구소논문집||1993
P00044518,구동독과 북한의 토지제도의 비교,김상용,토지연구,1994,,,,False,구동독과북한의토지제도의비교||김상용||토지연구||1994
P00044519,한국의 통일과 토지소유제도의 재편,김성욱,비교사법,2006,,,,False,한국의통일과토지소유제도의재편||김성욱||비교사법||2006
P00044521,북한 토지소유제의 전개과정,김영윤,북한,1996,,,,False,북한토지소유제의전개과정||김영윤||북한||1996
P00044522,한반도 통일의 헌법적 과제,김형성,헌법학연구,1998,,,,False,한반도통일의헌법적과제||김형성||헌법학연구||1998
P00044523,한국헌법의 영토조항과 국적문제,나인균,헌법논총,1994,,,,False,한국헌법의영토조항과국적문제||나인균||헌법논총||1994
P00044524,통일 후 토지소유권의 재편방향,명순구,통일논총,2003,,,,False,통일후토지소유권의재편방향||명순구||통일논총||2003
P00044525,토지사정명의인 후손의 땅 찾기 소송에 관한 검토,박성욱,법무자료집,2006,,,,False,토지사정명의인후손의땅찾기소송에관한검토||박성욱||법무자료집||2006
P00044528,북한민법상의 소유형태,오종근,북한연구,1992,,,,False,북한민법상의소유형태||오종근||북한연구||1992
P00044530,통일 후 북한의 토지소유권 문제,이부하,토지공법연구,2004,,,,False,통일후북한의토지소유권문제||이부하||토지공법연구||2004
P00044531,농지개혁법소고,정범석,사법행정,1968,,,,False,농지개혁법소고||정범석||사법행정||1968
P00044532,농지개혁법연구,조종식,재산법연구,1992,,,,False,농지개혁법연구||조종식||재산법연구||1992
P00044536,새로운 과학기술발전 5개년계획을 성과적으로 수행하기 위한 방도,곽태철,경제연구,2005,,,,False,새로운과학기술발전5개년계획을성과적으로수행하기위한방도||곽태철||경제연구||2005
P00044537,부동산에 대한 통계적 연구에서 제기되는 몇 가지 방법론적 문제,김광일,경제연구,2007,,,,False,부동산에대한통계적연구에서제기되는몇가지방법론적문제||김광일||경제연구||2007
P00044538,북한 ‘부동산사용료’ 제정현황과 의미,김래은,통일과 국토,2007,,,,False,북한부동산사용료제정현황과의미||김래은||통일과국토||2007
P00044539,지질탐사설계예산편성사업 개선에서 탐사원칙을 구현하기 위한 방도,김상일,경제연구,2006,,,,False,지질탐사설계예산편성사업개선에서탐사원칙을구현하기위한방도||김상일||경제연구||2006
P00044540,"국가의 중앙집권적,통일적 지도를 보장하면서 기업소의 창발성을 발양시키는데서 나서는 중요한 문제",김양호,경제연구,2007,,,,False,국가의중앙집권적통일적지도를보장하면서기업소의창발성을발양시키는데서나서는중요한문제||김양호||경제연구||2007
P00044541,"공장,기업소들에서 부족되는 원료,연료를 해결하는데서 나서는 몇 가지 문제",김영일,경제연구,2003,,,,False,공장기업소들에서부족되는원료연료를해결하는데서나서는몇가지문제||김영일||경제연구||2003
P00044542,새 세기 우리 식의 사회주의 경제리론을 연구하는데서 나서는 중요문제,리기성,경제연구,2007,,,,False,새세기우리식의사회주의경제리론을연구하는데서나서는중요문제||리기성||경제연구||2007
P00044543,부동산가격과 사용료를 바로 제정적용하는 것은 부동산의 효과적 리용을 보장하기 위한 중요요구,리동구,경제연구,2006,,,,False,부동산가격과사용료를바로제정적용하는것은부동산의효과적리용을보장하기위한중요요구||리동구||경제연구||2006
P00044544,중소규모탄광을 적극 발전시키는 것은 주체적인 연료기지축성의 합법칙적 요구,리부기,경제연구,2002,,,,False,중소규모탄광을적극발전시키는것은주체적인연료기지축성의합법칙적요구||리부기||경제연구||2002
P00044545,경영전략수립에서 나서는 중요원칙,림춘일,경제연구,2008,,,,False,경영전략수립에서나서는중요원칙||림춘일||경제연구||2008
P00044550,김정일 체제의 개혁개방 가능성:최소치와 최대치,배종렬,현대북한연구,2008,,,,False,김정일체제의개혁개방가능성최소치와최대치||배종렬||현대북한연구||2008
P00044551,한미 FTA‘개성공단’협상결과 및 그 의미,이재호,KDI 북한경제리뷰,2007,,,,False,한미fta개성공단협상결과및그의미||이재호||kdi북한경제리뷰||2007
P00044552,북한 국민소득 재평가,이종석,정세와 정책,2008,,,,False,북한국민소득재평가||이종석||정세와정책||2008
P00044553,비핵·개방·3000 구상: 과제와 전망,윤덕민,주요국제문제분석,2008,,,,False,비핵개방3000구상과제와전망||윤덕민||주요국제문제분석||2008
P00044555,카트리나 대참사는 운하 때문이다,양영석,한겨레21,2008,,,,False,카트리나대참사는운하때문이다||양영석||한겨레21||2008
P00044558,유용광물탐사매장량 가격제정의 필요성,허하명,경제연구,2007,,,,False,유용광물탐사매장량가격제정의필요성||허하명||경제연구||2007
P00044567,북한 개발지원의 방향과 전략: 기술지원과 PRSP의 연계,임을출,통일정책연구,2005,,,,False,북한개발지원의방향과전략기술지원과prsp의연계||임을출||통일정책연구||2005
P00044568,국제 규범에 비추어 본 남북경협,장형수,통일경제,2008,,,,False,국제규범에비추어본남북경협||장형수||통일경제||2008
P00044570,재원조달 방안과 추진방식,장형수,통일경제,2000,,,,False,재원조달방안과추진방식||장형수||통일경제||2000
P00044579,국가기관일군들이 다재다능한 실력가가 되는 것은 선군시대 우리 혁명의 절박한요구,강은길,정치법률연구,2006,,,,False,국가기관일군들이다재다능한실력가가되는것은선군시대우리혁명의절박한요구||강은길||정치법률연구||2006
P00044580,군의 역할을 높여 인민생활에서 전환을 일으키자(1994.10.20일),김정일,김정일선집,1998,,,,False,군의역할을높여인민생활에서전환을일으키자19941020일||김정일||김정일선집||1998
P00044581,일군들은 ‘고난의 행군’정신으로 살며 일해야 한다(1996.10.14),김정일,김정일선집,2000,,,,False,일군들은고난의행군정신으로살며일해야한다19961014||김정일||김정일선집||2000
P00044582,올해에 당사업에서 혁명적전환을 일으킬데 대하여,김정일,김정일선집,2000,,,,False,올해에당사업에서혁명적전환을일으킬데대하여||김정일||김정일선집||2000
P00044583,올해를 강성대국건설의 위대한 전환의 해로 빛내이자(1999.1.1),김정일,김정일선집,2000,,,,False,올해를강성대국건설의위대한전환의해로빛내이자199911||김정일||김정일선집||2000
P00044584,행정법적 제재에 대한 리해,리성국,정치법률연구,2006,,,,False,행정법적제재에대한리해||리성국||정치법률연구||2006
P00044585,사회주의 국가관리에서 행정법적 제재의 필요성,리성국,정치법률연구,2006,,,,False,사회주의국가관리에서행정법적제재의필요성||리성국||정치법률연구||2006
P00044586,내각의 조직집행자적 역할을 높이는 것은 국가경제력 강화의 선결조선,안천훈,정치법률연구,2005,,,,False,내각의조직집행자적역할을높이는것은국가경제력강화의선결조선||안천훈||정치법률연구||2005
P00044587,비사회주의현상과의 투쟁을 강화하는 것은 강성대국 건설의 중요요구,우향숙,정치법률연구,2006,,,,False,비사회주의현상과의투쟁을강화하는것은강성대국건설의중요요구||우향숙||정치법률연구||2006
P00044588,선군시대경제건설로선을 관철하여 강력한 국가 경제력의 토대를 마련하신 위대한 령도,윤재창,사회과학원학보,2004,,,,False,선군시대경제건설로선을관철하여강력한국가경제력의토대를마련하신위대한령도||윤재창||사회과학원학보||2004
P00044589,인민민주주의독재의 주요기능,현웅삼,정치법률연구,2005,,,,False,인민민주주의독재의주요기능||현웅삼||정치법률연구||2005
P00044598,북한의 정치변동과 ‘일상의 정치’: ‘김정일체제’ 이후,김종욱,북한연구학회보,2007,,,,False,북한의정치변동과일상의정치김정일체제이후||김종욱||북한연구학회보||2007
P00044599,"전환기 중국의 부패 관련 신조어와 유행어 유형 및 사례 분석 - 80,90년대 관료부패를 중심으로",김현태,중국어문학논집,2005,,,,False,전환기중국의부패관련신조어와유행어유형및사례분석8090년대관료부패를중심으로||김현태||중국어문학논집||2005
P00044602,1990년대 이후 북한의 기업지배구조 변화: 제도경제학적 접근,양문수,통일정책연구,2006,ART001030873,paper_uid,ART001030873,False,1990년대이후북한의기업지배구조변화제도경제학적접근||양문수||통일정책연구||2006
P00044603,관료부패 구조에 관한 연구,윤태범,한국행정학회보,1993,,,,False,관료부패구조에관한연구||윤태범||한국행정학회보||1993
P00044606,20세기 사회주의에서 화폐와 수령,차문석,한국정치학회보,2008,,,,False,20세기사회주의에서화폐와수령||차문석||한국정치학회보||2008
P00044607,북한 관료부패의 실태와 원인에 관한 연구: 북한 이탈주민의 인지도를 중심으로,채원호,한국거버넌스학회보,2006,,,,False,북한관료부패의실태와원인에관한연구북한이탈주민의인지도를중심으로||채원호||한국거버넌스학회보||2006
P00044609,북한체제의 지탱요인 분석,최완규,현대북한연구,2006,,,,False,북한체제의지탱요인분석||최완규||현대북한연구||2006
P00044642,통일정책과 국민통합: 보혁갈등을 넘어,조민,통일정책연구,2003,,,,False,통일정책과국민통합보혁갈등을넘어||조민||통일정책연구||2003
P00044644,제2차 남북정상회담과 북·미관계 전망,최진욱,통일연구원 Online Series,2007,,,,False,제2차남북정상회담과북미관계전망||최진욱||통일연구원onlineseries||2007
P00044647,2008년 북한 농업 전망과 남북한 협력과제,권태진,북한농업동향,2008,,,,False,2008년북한농업전망과남북한협력과제||권태진||북한농업동향||2008
P00044655,북한의 가격·배급제도의 변화와 전망,박순성,민족발전연구,2003,,,,False,북한의가격배급제도의변화와전망||박순성||민족발전연구||2003
P00044656,북한 식량난 실태와 해결방안,이영훈,정세와 정책,2008,,,,False,북한식량난실태와해결방안||이영훈||정세와정책||2008
P00044658,기로에 선 북한의 배급제도,황재준,북한 및 통일관련 신진연구 논문집,2003,,,,False,기로에선북한의배급제도||황재준||북한및통일관련신진연구논문집||2003
P00044660,조선무역은행과 북한의 외화관리시스템,김광진,북한조사연구,2007,,,,False,조선무역은행과북한의외화관리시스템||김광진||북한조사연구||2007
P00044662,북한 암시장의 경제 사회적 영향,김영윤,통일연구논총,1997,,,,False,북한암시장의경제사회적영향||김영윤||통일연구논총||1997
P00044663,사회주의 국가의 경제위기와 대응의 정치학: 1990년대 북한과 쿠바 사례 비교,신석호,현대북한연구,2008,,,,False,사회주의국가의경제위기와대응의정치학1990년대북한과쿠바사례비교||신석호||현대북한연구||2008
P00044664,사회주의 국가의 경제적 초기조건과 개혁 시기의 상관관계,신석호,통일문제연구,2008,ART001258108,paper_uid,ART001258108,False,사회주의국가의경제적초기조건과개혁시기의상관관계||신석호||통일문제연구||2008
P00044667,분조가 기본분배단위로 기능하는 것은 현 시기 농업 생산을 빨리 발전시키기 위한 중요한 방도,박재성,경제연구,2004,,,,False,분조가기본분배단위로기능하는것은현시기농업생산을빨리발전시키기위한중요한방도||박재성||경제연구||2004
P00044668,분조관리제를 올바로 실시하기 위한 당적 지도에서 얻은 몇 가지 경험,정기풍,근로자,1996,,,,False,분조관리제를올바로실시하기위한당적지도에서얻은몇가지경험||정기풍||근로자||1996
P00044683,통일지향 교육 패러다임 정립과 추진방안,,,2004,,,,False,통일지향교육패러다임정립과추진방안||||||2004
P00044684,외국 민주시민교육의 통일교육적 함의,길은배,시민정치학회보,2003,,,,False,외국민주시민교육의통일교육적함의||길은배||시민정치학회보||2003
P00038975,평화를 위한 통일교육,,,2007,,,,False,평화를위한통일교육||||||2007
P00044685,북한이해교육’의 현황과 개선방안,,,2007,,,,False,북한이해교육의현황과개선방안||||||2007
P00041440,신패러다임 통일교육 구현방안,,,2005,,,,False,신패러다임통일교육구현방안||||||2005
